"","anti.ts","pro.ts"
"1",37,14085
"2",157,5219
"3",40,5106
"4",25,6898
"5",24,2974
"6",61,3230
"7",92,4794
"8",87,2856
"9",19,2836
"10",15,2372
"11",37,4887
"12",74,5807
"13",29,5550
"14",56,8179
"15",20,4942
"16",59,4122
"17",23,3118
"18",17,3644
"19",54,2994
"20",21,4980
"21",35,4817
"22",17,4010
"23",23,3068
"24",19,5497
"25",20,5820
"26",32,5606
"27",31,4203
"28",24,3885
"29",39,3173
"30",44,3111
"31",15,3615
"32",15,4182
"33",13,4087
"34",5,4382
"35",23,4451
"36",31,5500
"37",33,6814
"38",83,7214
"39",136,4829
"40",33,3632
"41",186,12504
"42",51,3154
